reach_cm,shoulder_angle,elbow_angle
10.0,0.0,0.0
10.5,0.0,0.0
11.0,0.0,0.0
11.5,0.0,0.0
12.0,0.0,0.0
12.5,0.0,0.0
13.0,0.0,0.0
13.5,0.0,0.0
14.0,0.0,0.0
14.5,33.9,6.16
15.0,43.76,9.18
15.5,49.46,11.81
16.0,53.13,14.25
16.5,55.61,16.6
17.0,57.32,18.89
17.5,58.48,21.14
18.0,59.26,23.37
18.5,59.75,25.59
19.0,60.0,27.8
19.5,60.07,30.0
20.0,60.0,32.2
20.5,59.81,34.41
21.0,59.51,36.62
21.5,59.13,38.84
22.0,58.67,41.08
22.5,58.14,43.32
23.0,57.56,45.57
23.5,56.93,47.84
24.0,56.25,50.13
24.5,55.53,52.44
25.0,54.77,54.77
25.5,53.97,57.12
26.0,53.13,59.49
26.5,52.26,61.89
27.0,51.36,64.32
27.5,50.42,66.78
28.0,49.46,69.28
28.5,48.46,71.81
29.0,47.43,74.38
29.5,46.37,77.0
30.0,45.28,79.66
30.5,44.15,82.37
31.0,42.98,85.15
31.5,41.78,87.98
32.0,40.54,90.88
32.5,39.25,93.86
33.0,37.92,96.92
33.5,36.54,100.08
34.0,35.1,103.34
34.5,33.6,106.73
35.0,32.02,110.25
35.5,30.37,113.94
36.0,28.62,117.82
36.5,26.77,121.93
37.0,24.77,126.32
37.5,22.6,131.08
38.0,20.21,136.31
38.5,17.49,142.22
39.0,14.27,149.2
39.5,10.09,158.26
40.0,0.0,180.0
