shoulder_angle,elbow_angle,measured_z_cm,measured_y_px
140,135,91.56,-328
140,137,81.38,-299
140,138,82.93,-265
140,139,79.87,-262
140,140,77.0,-226
140,143,47.96,-181
140,144,47.96,-178
140,146,35.07,0
140,147,42.77,0
140,148,24.990000000000002,0
140,149,34.69,-1
140,150,34.31,-78
140,151,35.87,-83
140,152,53.47,-84
140,153,29.28,0
140,154,37.53,-83
140,155,36.68,-88
140,156,37.1,-78
140,157,38.86,0
140,158,37.96,-32
140,159,36.68,-83
139,126,50.59,-296
139,127,46.12,-260
139,128,49.25,-257
139,129,47.96,-216
139,130,46.12,-219
139,131,47.33,-224
139,132,43.84,-187
139,133,35.47,-27
139,134,46.12,-150
139,135,47.33,38
139,136,47.96,-78
139,137,48.6,-76
139,138,48.6,3
139,139,48.6,116
139,140,48.6,96
139,141,48.6,98
139,142,47.96,175
139,143,47.96,174
139,144,48.6,172
139,145,47.96,174
139,146,47.96,226
139,147,27.009999999999998,-11
139,150,50.59,-201
139,151,51.29,-201
139,153,47.96,209
139,154,47.96,211
139,155,46.12,213
139,156,46.12,213
139,157,46.12,212
139,158,46.12,213
139,159,46.12,211
138,70,46.12,217
138,134,87.93,-300
138,135,86.21,-299
138,136,86.21,-298
138,137,81.38,-265
138,138,79.87,-264
138,139,62.95,-174
138,140,61.03,-204
138,141,37.1,-3
138,142,51.29,-183
138,143,50.59,-184
138,144,47.96,-140
138,145,30.509999999999998,-1
138,146,41.74,-109
138,147,36.27,-76
138,148,28.979999999999997,-76
138,149,36.68,-80
138,150,37.96,-53
138,151,43.84,-44
138,152,33.21,-51
138,153,35.07,-47
138,154,32.5,-43
138,155,33.94,-45
138,157,35.87,-48
138,158,35.47,-46
138,159,23.380000000000003,0
137,134,89.71,-324
137,135,84.54,-290
137,138,78.41,-263
137,139,63.95,-225
137,141,30.83,-1
137,142,29.58,-2
137,143,47.33,-135
137,144,46.12,-124
137,145,44.4,-102
137,147,40.26,-61
137,148,49.25,-63
137,149,41.23,-34
137,150,33.57,-33
137,151,35.47,-26
137,152,31.15,-24
137,153,34.69,-37
137,155,30.83,-22
137,156,30.509999999999998,-30
137,157,33.94,-33
137,158,32.85,-5
137,159,46.12,-34
136,131,166.0,-346
136,134,84.54,-294
136,135,82.93,-288
136,136,77.0,-262
136,137,78.41,-262
136,138,71.76,-228
136,139,53.47,-195
136,140,55.010000000000005,-196
136,141,49.91,-158
136,142,49.91,-164
136,143,50.59,-139
136,144,51.29,-124
136,145,52.0,-124
136,146,51.29,-94
136,147,49.91,-53
136,148,50.59,-50
136,149,49.91,-50
136,150,33.94,-10
136,155,36.27,-5
136,158,34.69,-12
135,131,89.71,-327
135,132,84.54,-325
135,133,78.41,-280
135,134,79.87,-278
135,135,70.55,-240
135,136,74.3,-239
135,137,73.01,-238
135,141,45.54,-147
135,142,46.12,-135
135,143,47.96,-95
135,145,27.560000000000002,-1
135,146,35.47,-62
135,148,34.31,-27
135,149,30.509999999999998,3
135,150,31.82,11
135,151,30.83,11
135,152,32.16,3
135,153,30.83,10
135,154,32.5,9
135,155,28.689999999999998,2
135,156,29.880000000000003,4
135,157,32.5,15
135,158,30.83,8
135,159,30.189999999999998,7
134,130,86.21,-319
134,131,87.93,-322
134,136,73.01,-201
134,138,49.25,-161
134,140,46.72,-129
134,141,39.78,-128
134,142,75.63,31
134,145,49.25,-46
134,146,24.509999999999998,-4
134,147,26.490000000000002,-6
134,150,20.0,33
134,152,22.520000000000003,21
134,154,23.380000000000003,52
134,158,24.509999999999998,46
133,131,75.63,-278
133,137,75.63,-107
133,139,31.479999999999997,-2
133,140,39.78,-116
133,141,37.53,-2
133,142,51.29,-80
133,143,35.87,-74
133,144,41.23,-30
133,145,33.94,-40
133,146,30.189999999999998,-4
133,147,33.57,-3
133,148,19.64,12
133,149,32.16,25
133,150,19.64,25
133,153,68.23,-4
133,155,67.11,-5
133,156,61.97,-4
133,157,68.23,-11
133,158,68.23,-10
133,159,63.95,5
132,139,77.0,-290
132,140,71.76,-249
132,141,70.55,-254
132,142,67.11,-254
132,143,63.95,-204
132,144,68.23,-208
132,145,36.68,-175
132,146,68.23,-151
132,147,68.23,-58
132,148,67.11,-60
132,149,70.55,-10
132,150,33.57,-110
132,152,61.97,-6
132,153,69.37,-13
132,154,35.87,-108
132,155,69.37,-12
132,157,71.76,-11
132,158,61.97,-7
132,159,71.76,-10
131,136,82.93,-321
131,137,79.87,-321
131,138,75.63,-277
131,139,75.63,-275
131,140,71.76,-232
131,141,70.55,-229
131,142,70.55,-230
131,143,68.23,-159
131,144,69.37,-169
131,145,69.37,-169
131,146,70.55,-78
131,147,68.23,-76
131,148,70.55,-7
131,149,70.55,-1
131,150,69.37,65
131,151,69.37,60
131,152,69.37,62
131,153,69.37,61
131,154,69.37,61
131,155,69.37,62
131,156,70.55,62
131,157,69.37,62
131,158,70.55,62
131,159,70.55,62
130,70,39.32,-100
130,135,82.93,-324
130,136,75.63,-275
130,137,77.0,-280
130,138,75.63,-280
130,139,71.76,-220
130,140,70.55,-224
130,141,70.55,-224
130,142,70.55,-163
130,143,68.23,-159
130,144,69.37,-102
130,145,68.23,-106
130,146,69.37,-106
130,147,70.55,-33
130,148,37.1,-111
130,149,70.55,34
130,150,69.37,106
130,151,70.55,100
130,152,69.37,99
130,153,70.55,99
130,154,70.55,100
130,155,70.55,100
130,156,70.55,100
130,157,70.55,100
130,158,70.55,100
130,159,70.55,100
129,70,37.1,-19
129,71,78.41,-320
129,134,79.87,-312
129,135,79.87,-313
129,136,74.3,-270
129,137,75.63,-274
129,138,75.63,-274
129,139,69.37,-239
129,140,67.11,-205
129,141,68.23,-204
129,142,68.23,-202
129,143,69.37,-138
129,144,68.23,-75
129,145,68.23,-81
129,146,36.68,-104
129,147,68.23,-10
129,148,36.27,-99
129,149,69.37,60
129,150,36.68,-33
129,151,69.37,116
129,152,69.37,116
129,153,68.23,116
129,154,68.23,116
129,155,68.23,116
129,156,69.37,116
129,157,68.23,117
129,158,68.23,117
129,159,68.23,117
128,70,36.68,-57
128,134,79.87,-313
128,135,77.0,-281
128,136,75.63,-277
128,137,67.11,-260
128,138,68.23,-242
128,139,68.23,-203
128,140,67.11,-206
128,141,67.11,-154
128,142,67.11,-154
128,143,68.23,-88
128,144,67.11,-78
128,145,67.11,-78
128,146,68.23,19
128,147,67.11,15
128,148,37.1,-45
128,149,68.23,94
128,150,37.96,21
128,151,67.11,153
128,152,67.11,154
128,153,67.11,153
128,154,67.11,154
128,155,67.11,154
128,156,67.11,153
128,157,67.11,154
128,158,67.11,154
128,159,67.11,153
127,70,37.53,-38
127,134,78.41,-301
127,135,70.55,-257
127,136,70.55,-261
127,137,69.37,-260
127,138,67.11,-227
127,139,66.03,-167
127,140,66.03,-168
127,141,67.11,-133
127,142,66.03,-128
127,143,66.03,-124
127,144,67.11,-53
127,145,64.97,-50
127,146,67.11,4
127,147,66.03,82
127,148,67.11,82
127,149,67.11,148
127,150,67.11,140
127,151,66.03,140
127,152,66.03,140
127,153,67.11,141
127,154,66.03,140
127,155,67.11,140
127,156,66.03,140
127,157,67.11,141
127,158,66.03,140
127,159,67.11,141
126,70,67.11,141
126,132,77.0,-304
126,133,77.0,-300
126,134,64.97,-263
126,135,73.01,-265
126,136,66.03,-236
126,137,55.010000000000005,-231
126,138,62.95,-199
126,139,36.27,-179
126,140,35.47,-172
126,141,66.03,-88
126,142,36.68,-149
126,143,36.27,-118
126,144,36.27,-114
126,145,36.27,-72
126,146,61.97,46
126,147,64.97,114
126,148,32.85,8
126,149,61.97,171
126,150,32.5,73
126,151,61.97,178
126,152,64.97,182
126,153,58.31999999999999,175
126,154,34.69,72
126,155,53.47,184
126,156,57.459999999999994,183
126,157,33.21,84
126,158,63.95,181
126,159,34.31,77
125,131,69.37,-316
125,132,59.2,-279
125,133,63.95,-280
125,134,67.11,-252
125,135,61.97,-231
125,136,58.31999999999999,-227
125,137,61.03,-192
125,138,36.68,-185
125,139,64.97,-169
125,140,35.87,-143
125,141,66.03,-79
125,142,35.07,-136
125,143,31.479999999999997,-98
125,144,63.95,13
125,145,66.03,66
125,146,34.69,-46
125,147,61.97,136
125,148,32.85,43
125,149,64.97,197
125,150,35.07,88
125,151,64.97,199
125,152,64.97,205
125,153,66.03,198
125,154,34.69,92
125,155,62.95,199
125,156,59.2,204
125,157,63.95,198
125,158,61.03,201
125,159,61.97,196
124,130,79.87,-319
124,131,79.87,-318
124,133,71.76,-269
124,134,67.11,-239
124,135,55.010000000000005,-236
124,136,63.95,-191
124,137,55.010000000000005,-185
124,138,66.03,-194
124,139,35.47,-137
124,140,64.97,-74
124,141,29.880000000000003,-137
124,142,33.94,-97
124,143,62.95,16
124,144,34.31,-52
124,145,34.69,-16
124,146,33.57,-15
124,147,61.03,168
124,148,35.07,64
124,149,63.95,215
124,150,58.31999999999999,218
124,152,62.95,216
124,153,34.31,105
124,154,63.95,217
124,155,64.97,214
124,156,52.730000000000004,220
124,157,32.16,107
124,158,33.21,105
124,159,32.85,100
123,129,78.41,-327
123,130,71.76,-289
123,131,73.01,-286
123,132,67.11,-251
123,134,64.97,-218
123,135,56.629999999999995,-214
123,136,56.629999999999995,-172
123,137,36.27,-181
123,138,35.07,-148
123,139,30.509999999999998,-147
123,140,64.97,-23
123,141,62.95,-15
123,142,33.57,-110
123,143,62.95,81
123,144,62.95,77
123,145,32.85,27
123,146,63.95,135
123,147,62.95,208
123,148,33.57,94
123,149,61.97,234
123,150,61.03,236
123,151,62.95,234
123,152,61.03,235
123,153,29.58,123
123,154,64.97,233
123,155,29.28,120
123,156,56.629999999999995,235
123,158,64.97,236
123,159,63.95,236
122,130,70.55,-283
122,131,73.01,-284
122,132,66.03,-238
122,133,63.95,-237
122,134,64.97,-206
122,135,64.97,-202
122,136,35.87,-169
122,137,35.87,-168
122,138,28.11,-134
122,139,35.07,-133
122,140,63.95,21
122,141,33.21,-91
122,142,61.03,18
122,143,31.82,3
122,144,32.85,5
122,145,64.97,176
122,146,62.95,180
122,148,63.95,229
122,149,63.95,251
122,151,61.03,255
122,152,59.2,252
122,153,63.95,252
122,154,29.880000000000003,138
122,155,64.97,252
122,156,30.189999999999998,138
