error_px,distance_cm,correction_angle,axis
-597,114.58,-2.0,x
-597,114.58,-2.0,x
277,37.53,2.0,x
277,37.53,2.0,x
277,37.53,2.0,x
268,38.41,2.0,x
268,38.41,2.0,x
268,38.41,2.0,x
268,38.41,2.0,x
262,38.41,2.0,x
262,38.41,2.0,x
262,38.41,2.0,x
262,38.41,2.0,x
262,38.41,2.0,x
262,38.41,2.0,x
105,28.979999999999997,1.575,x
105,28.979999999999997,1.575,x
105,28.979999999999997,1.575,x
105,28.979999999999997,1.575,x
105,28.979999999999997,1.575,x
105,28.979999999999997,1.575,x
-609,171.74,-2.0,x
-609,171.74,-2.0,x
-609,171.74,-2.0,x
-609,171.74,-2.0,x
-609,171.74,-2.0,x
-159,38.86,-2.0,x
-159,38.86,-2.0,x
-159,38.86,-2.0,x
-157,38.86,-2.0,x
-157,38.86,-2.0,x
-157,38.86,-2.0,x
-157,38.86,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
-145,33.94,-2.0,x
535,39.32,2.0,x
535,39.32,2.0,x
535,39.32,2.0,x
535,39.32,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,155.53,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-606,150.74,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
-278,33.57,-2.0,x
567,61.97,2.0,x
567,61.97,2.0,x
567,61.97,2.0,x
567,61.97,2.0,x
567,61.97,2.0,x
451,28.4,2.0,x
451,28.4,2.0,x
451,28.4,2.0,x
451,28.4,2.0,x
451,28.4,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
448,28.979999999999997,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
255,24.990000000000002,2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-506,29.58,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-547,47.33,-2.0,x
-469,28.11,-2.0,x
-469,28.11,-2.0,x
-469,28.11,-2.0,x
-469,28.11,-2.0,x
-469,28.11,-2.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
67,33.21,1.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
385,30.189999999999998,2.0,x
171,30.83,2.0,x
171,30.83,2.0,x
171,30.83,2.0,x
171,30.83,2.0,x
171,30.83,2.0,x
171,30.83,2.0,x
-463,36.27,-2.0,x
-463,36.27,-2.0,x
-463,36.27,-2.0,x
-463,36.27,-2.0,x
-463,36.27,-2.0,x
-550,48.6,-2.0,x
-550,48.6,-2.0,x
-550,48.6,-2.0,x
-550,48.6,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
-520,33.21,-2.0,x
318,33.21,2.0,x
318,33.21,2.0,x
318,33.21,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
455,29.28,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
